,x,y,mannual_label,correct_label
Digit 2,-31.50276,39.158955,-,Digit 2
Digit 7,-7.297969,-23.156075,-,Digit 7
Digit 1,-65.577835,39.253075,-,Digit 1
Digit 3,63.145294,47.76761,-,Digit 3
Digit 5,51.867622,-1.6822023,-,Digit 5
Digit 3,81.47956,5.758724,-,Digit 3
Digit 8,27.13915,38.850864,-,Digit 8
Digit 6,-9.159911,-59.032013,-,Digit 6
Digit 7,15.577499,-46.80654,-,Digit 7
Digit 0,-71.259636,-41.780083,-,Digit 0
Digit 3,64.43655,-6.5756617,-,Digit 3
Digit 3,56.33164,54.935104,-,Digit 3
Digit 1,-27.337914,75.80471,-,Digit 1
Digit 2,-16.261057,30.362827,-,Digit 2
Digit 1,-19.059566,73.03092,-,Digit 1
Digit 0,-50.63732,-29.952515,-,Digit 0
Digit 0,-58.939682,-18.74529,-,Digit 0
Digit 3,57.46996,57.442314,-,Digit 3
Digit 9,46.539295,-37.891285,-,Digit 9
Digit 0,-54.988182,-44.731388,-,Digit 0
Digit 0,-36.372334,-4.8139415,-,Digit 0
Digit 7,-23.790474,-13.87811,-,Digit 7
Digit 6,-30.066862,-59.49756,-,Digit 6
Digit 7,-2.0517297,-36.525585,-,Digit 7
Digit 7,-15.510993,-33.602383,-,Digit 7
Digit 7,-8.277869,-23.736273,-,Digit 7
Digit 0,-59.33984,-13.266662,-,Digit 0
Digit 8,70.93857,-15.905554,-,Digit 8
Digit 2,-17.942665,13.03964,-,Digit 2
Digit 0,-58.5691,-14.702872,-,Digit 0
Digit 1,-81.03671,14.191152,-,Digit 1
Digit 3,82.15677,1.7974386,-,Digit 3
Digit 7,-25.512987,-19.59165,-,Digit 7
Digit 1,-73.38252,23.458096,-,Digit 1
Digit 3,69.72731,25.816332,-,Digit 3
Digit 2,-11.567417,48.8441,-,Digit 2
Digit 3,80.77624,27.3111,-,Digit 3
Digit 0,-59.341473,-13.376735,-,Digit 0
Digit 0,-42.968254,-10.592189,-,Digit 0
Digit 7,26.887808,-48.550568,-,Digit 7
Digit 5,38.942398,4.4984355,-,Digit 5
Digit 3,69.51271,-4.2328596,-,Digit 3
Digit 8,63.587177,-19.13681,-,Digit 8
Digit 9,42.813408,-23.75246,-,Digit 9
Digit 6,0.08651277,-56.701656,-,Digit 6
Digit 3,79.94572,1.3379917,-,Digit 3
Digit 7,-53.71395,51.18251,-,Digit 7
Digit 4,65.26312,-43.30928,-,Digit 4
Digit 4,-11.340486,-6.494295,-,Digit 4
Digit 8,25.26149,52.088192,-,Digit 8
Digit 6,-12.485667,-71.66546,-,Digit 6
Digit 4,48.005917,-10.073697,-,Digit 4
Digit 3,72.68595,1.4262575,-,Digit 3
Digit 5,38.006386,15.211252,-,Digit 5
Digit 7,-10.435326,-39.00634,-,Digit 7
Digit 8,25.164421,47.3179,-,Digit 8
Digit 4,-11.845552,-12.603576,-,Digit 4
Digit 9,39.035576,-37.932198,-,Digit 9
Digit 7,7.043155,-27.687878,-,Digit 7
Digit 9,25.283918,-6.625575,-,Digit 9
Digit 8,8.367374,54.62931,-,Digit 8
Digit 0,-44.693203,-22.693787,-,Digit 0
Digit 2,-21.365961,37.881386,-,Digit 2
Digit 9,-38.7284,69.80329,-,Digit 9
Digit 5,46.7054,6.0915084,-,Digit 5
Digit 6,-11.229466,-51.14582,-,Digit 6
Digit 7,-23.936888,-21.039751,-,Digit 7
Digit 4,-16.982746,-5.8347783,-,Digit 4
Digit 2,-27.730219,33.65086,-,Digit 2
Digit 9,40.9039,-68.21829,-,Digit 9
Digit 7,14.864115,-53.081352,-,Digit 7
Digit 9,14.888384,1.1707876,-,Digit 9
Digit 6,-43.800323,-59.060474,-,Digit 6
Digit 3,60.530544,39.812077,-,Digit 3
Digit 9,4.5993505,51.052895,-,Digit 9
Digit 3,75.26239,34.98393,-,Digit 3
Digit 5,39.251617,-5.607601,-,Digit 5
Digit 9,27.361908,-22.07713,-,Digit 9
Digit 7,-14.501385,-32.840454,-,Digit 7
Digit 2,-27.860737,18.890617,-,Digit 2
Digit 2,-30.715141,-16.428581,-,Digit 2
Digit 8,5.112068,50.668518,-,Digit 8
Digit 8,30.059732,49.34211,-,Digit 8
Digit 9,35.934097,-27.676111,-,Digit 9
Digit 1,-35.307278,60.56481,-,Digit 1
Digit 8,104.29629,-13.94373,-,Digit 8
Digit 4,-2.8857625,-14.027648,-,Digit 4
Digit 7,-23.694286,-19.462706,-,Digit 7
Digit 0,-48.3594,4.6471586,-,Digit 0
Digit 3,80.52312,0.97875136,-,Digit 3
Digit 5,-5.671265,23.509377,-,Digit 5
Digit 7,-19.804096,-30.051804,-,Digit 7
Digit 5,-4.543723,30.412468,-,Digit 5
Digit 6,-13.893364,-77.319466,-,Digit 6
Digit 0,-40.995544,-11.246499,-,Digit 0
Digit 4,-1.3751762,-2.2127767,-,Digit 4
Digit 6,-9.413219,-56.7751,-,Digit 6
Digit 1,-53.51576,22.559427,-,Digit 1
Digit 0,-33.744286,-36.044582,-,Digit 0
Digit 8,22.113438,62.53622,-,Digit 8
Digit 1,-58.707787,51.1645,-,Digit 1
Digit 9,46.53302,-22.446844,-,Digit 9
Digit 3,-2.1461787,61.881798,-,Digit 3
