,x,y,mannual_label,correct_label
Digit 2,2.0082254,23.593582,-,Digit 2
Digit 7,15.589955,-12.569388,-,Digit 7
Digit 1,19.326056,10.181837,-,Digit 1
Digit 3,-10.9876175,13.700064,-,Digit 3
Digit 5,-6.5949244,1.3715762,-,Digit 5
Digit 3,-10.714946,6.3198423,-,Digit 3
Digit 8,0.24863392,6.9708505,-,Digit 8
Digit 6,-14.06491,-6.493668,-,Digit 6
Digit 7,12.2215805,-17.753231,-,Digit 7
Digit 0,-25.290728,-3.71859,-,Digit 0
Digit 3,-4.19018,5.4180903,-,Digit 3
Digit 3,-8.689712,14.945252,-,Digit 3
Digit 1,15.754943,16.673706,-,Digit 1
Digit 2,-2.0285878,18.907515,-,Digit 2
Digit 1,14.549986,19.04564,-,Digit 1
Digit 0,-23.423214,-0.28008786,-,Digit 0
Digit 0,-26.470528,3.0022042,-,Digit 0
Digit 3,-8.468955,13.93638,-,Digit 3
Digit 9,-0.8390761,-17.374868,-,Digit 9
Digit 0,-27.012217,-1.1907369,-,Digit 0
Digit 0,-23.01412,9.31986,-,Digit 0
Digit 7,19.209711,-10.820986,-,Digit 7
Digit 6,-16.785767,-10.11098,-,Digit 6
Digit 7,15.666863,-15.0692425,-,Digit 7
Digit 7,18.551819,-13.616335,-,Digit 7
Digit 7,16.135756,-13.133395,-,Digit 7
Digit 0,-24.823584,3.8359168,-,Digit 0
Digit 8,-11.269858,3.320564,-,Digit 8
Digit 2,6.537857,-1.8271602,-,Digit 2
Digit 0,-24.441582,3.5784876,-,Digit 0
Digit 1,18.793903,5.1859403,-,Digit 1
Digit 3,-9.242732,4.670771,-,Digit 3
Digit 7,20.748228,-11.638873,-,Digit 7
Digit 1,19.894096,6.142742,-,Digit 1
Digit 3,-13.374197,9.695614,-,Digit 3
Digit 2,6.440277,18.016638,-,Digit 2
Digit 3,-6.459514,7.7006955,-,Digit 3
Digit 0,-24.712013,3.0705092,-,Digit 0
Digit 0,-18.6137,5.2723637,-,Digit 0
Digit 7,10.517883,-19.25668,-,Digit 7
Digit 5,-9.088727,-1.4889703,-,Digit 5
Digit 3,-6.8870053,5.837272,-,Digit 3
Digit 8,-10.971935,4.728611,-,Digit 8
Digit 9,3.3695304,-13.237982,-,Digit 9
Digit 6,-12.839535,-3.3616843,-,Digit 6
