,x,y,mannual_label,correct_label
Digit 2,-7.410597,-17.192085,-,Digit 2
Digit 7,23.590868,1.1078238,-,Digit 7
Digit 1,15.362016,-19.39846,-,Digit 1
Digit 3,-10.858591,1.8305649,-,Digit 3
Digit 5,-6.6039553,16.998268,-,Digit 5
Digit 3,-12.92717,11.419202,-,Digit 3
Digit 8,-1.8488923,4.877717,-,Digit 8
Digit 6,-20.365602,-4.8158154,-,Digit 6
Digit 7,24.63637,9.177867,-,Digit 7
Digit 0,-32.05749,11.452073,-,Digit 0
Digit 3,-4.0643573,10.12824,-,Digit 3
Digit 3,-8.50436,0.7224462,-,Digit 3
Digit 1,22.801353,-19.977476,-,Digit 1
Digit 2,-2.5355554,-13.648534,-,Digit 2
Digit 1,25.286818,-20.351524,-,Digit 1
Digit 0,-33.31426,7.842821,-,Digit 0
Digit 0,-37.055584,7.130779,-,Digit 0
Digit 3,-9.189129,2.6347475,-,Digit 3
Digit 9,13.082304,16.181547,-,Digit 9
Digit 0,-35.29411,8.436903,-,Digit 0
Digit 0,-37.315327,-1.945477,-,Digit 0
Digit 7,23.148676,-2.4454134,-,Digit 7
Digit 6,-23.181814,-1.1802394,-,Digit 6
Digit 7,24.722311,3.8559928,-,Digit 7
Digit 7,26.554127,1.5292605,-,Digit 7
Digit 7,24.517275,1.5082011,-,Digit 7
Digit 0,-36.341152,4.3965645,-,Digit 0
Digit 8,-13.211114,15.077622,-,Digit 8
Digit 2,10.5059595,-10.101141,-,Digit 2
Digit 0,-35.485115,4.380181,-,Digit 0
Digit 1,10.454192,-19.85078,-,Digit 1
Digit 3,-12.149227,12.061978,-,Digit 3
Digit 7,23.186888,-4.6219068,-,Digit 7
Digit 1,11.78566,-21.711363,-,Digit 1
Digit 3,-14.575507,8.079347,-,Digit 3
Digit 2,-8.959843,-21.677198,-,Digit 2
Digit 3,-8.381334,12.288859,-,Digit 3
Digit 0,-35.82859,5.5535707,-,Digit 0
Digit 0,-31.111393,-0.76596254,-,Digit 0
Digit 7,22.575886,10.393409,-,Digit 7
Digit 5,-15.834148,9.148382,-,Digit 5
Digit 3,-9.541527,13.457649,-,Digit 3
Digit 8,-13.434766,13.474877,-,Digit 8
Digit 9,12.763664,10.6441,-,Digit 9
Digit 6,-17.956348,-7.5379457,-,Digit 6
Digit 3,-13.357669,12.249079,-,Digit 3
Digit 7,18.507935,-18.099186,-,Digit 7
Digit 4,8.676906,20.67423,-,Digit 4
Digit 4,13.509748,-1.3063674,-,Digit 4
Digit 8,-3.0670044,-3.4598658,-,Digit 8
Digit 6,-21.470938,-4.1830363,-,Digit 6
Digit 4,9.868738,9.084746,-,Digit 4
Digit 3,-13.017133,11.071013,-,Digit 3
Digit 5,-5.0268083,15.123574,-,Digit 5
Digit 7,26.30063,4.485384,-,Digit 7
Digit 8,-1.2540135,4.5866957,-,Digit 8
Digit 4,14.838088,-3.1040277,-,Digit 4
Digit 9,14.224421,13.245644,-,Digit 9
Digit 7,28.875427,-2.7747421,-,Digit 7
Digit 9,17.66359,4.385746,-,Digit 9
Digit 8,3.204322,-3.6922355,-,Digit 8
Digit 0,-30.671534,6.443234,-,Digit 0
Digit 2,-4.112411,-19.465666,-,Digit 2
Digit 9,18.371847,-12.903936,-,Digit 9
Digit 5,-16.595716,7.6185064,-,Digit 5
Digit 6,-33.014397,-3.397055,-,Digit 6
Digit 7,23.527264,-4.0031796,-,Digit 7
Digit 4,16.098385,-4.368089,-,Digit 4
Digit 2,-6.89301,-16.259645,-,Digit 2
Digit 9,-35.773766,11.968645,-,Digit 9
Digit 7,25.346643,7.186002,-,Digit 7
Digit 9,16.98556,0.3197583,-,Digit 9
Digit 6,-22.859322,6.153912,-,Digit 6
Digit 3,-10.923633,5.813413,-,Digit 3
Digit 9,18.005314,-7.239188,-,Digit 9
Digit 3,-11.910478,4.1950254,-,Digit 3
Digit 5,7.0022197,6.8994274,-,Digit 5
Digit 9,17.088572,9.58343,-,Digit 9
Digit 7,26.698246,-1.0972726,-,Digit 7
Digit 2,-5.6303563,-13.217345,-,Digit 2
Digit 2,-10.892491,-8.90449,-,Digit 2
Digit 8,18.545393,-6.9812984,-,Digit 8
Digit 8,-2.438953,0.6079574,-,Digit 8
Digit 9,15.434859,11.728508,-,Digit 9
Digit 1,22.600988,-17.512014,-,Digit 1
Digit 8,-1.2498763,10.337693,-,Digit 8
Digit 4,13.135675,1.3879429,-,Digit 4
Digit 7,22.97142,-4.449409,-,Digit 7
Digit 0,-34.8498,0.38185608,-,Digit 0
Digit 3,-13.046804,12.271686,-,Digit 3
Digit 5,5.5063157,-9.580202,-,Digit 5
Digit 7,24.477345,-1.2134564,-,Digit 7
Digit 5,6.836913,-10.422803,-,Digit 5
Digit 6,-19.839327,-0.9733333,-,Digit 6
Digit 0,-32.34795,-0.7271941,-,Digit 0
Digit 4,11.045444,0.27336887,-,Digit 4
Digit 6,-21.04595,-5.5131736,-,Digit 6
Digit 1,15.748431,-22.556192,-,Digit 1
Digit 0,-27.987144,7.5118666,-,Digit 0
Digit 8,-0.53960776,-1.5846776,-,Digit 8
Digit 1,15.48768,-17.253033,-,Digit 1
Digit 9,13.133946,11.153252,-,Digit 9
Digit 3,-9.648032,-3.779561,-,Digit 3
Digit 1,22.658741,-16.900318,-,Digit 1
Digit 2,-1.8569533,-17.310823,-,Digit 2
Digit 8,-3.680579,3.7084548,-,Digit 8
Digit 3,-5.6914372,2.4835887,-,Digit 3
Digit 1,22.656248,-20.646982,-,Digit 1
Digit 6,-18.95822,-0.99794656,-,Digit 6
Digit 7,21.523685,5.1254263,-,Digit 7
Digit 7,28.367134,5.8631253,-,Digit 7
Digit 2,-3.4771204,-15.860877,-,Digit 2
Digit 5,-2.7316492,14.294489,-,Digit 5
Digit 2,-5.698449,-12.587527,-,Digit 2
Digit 3,-12.344109,3.9121268,-,Digit 3
Digit 3,-13.160768,8.396605,-,Digit 3
Digit 7,26.445812,-2.9605935,-,Digit 7
Digit 3,-7.681394,5.655103,-,Digit 3
Digit 3,-7.7831955,11.396834,-,Digit 3
Digit 3,-9.303414,7.941189,-,Digit 3
Digit 2,-3.1345549,-9.603316,-,Digit 2
Digit 3,-12.718559,7.808852,-,Digit 3
Digit 5,-11.794697,15.683018,-,Digit 5
Digit 6,5.3666573,-15.941695,-,Digit 6
Digit 1,20.582384,-18.456703,-,Digit 1
Digit 4,12.057458,20.309923,-,Digit 4
Digit 7,24.697596,8.356817,-,Digit 7
Digit 7,23.785772,8.284947,-,Digit 7
Digit 6,-20.575092,1.3561666,-,Digit 6
Digit 2,-2.1410139,-16.506123,-,Digit 2
Digit 6,-21.643106,6.0461392,-,Digit 6
Digit 7,23.440088,9.491128,-,Digit 7
Digit 0,-34.656803,-0.44414538,-,Digit 0
Digit 3,-9.019446,10.175791,-,Digit 3
Digit 0,-35.629772,2.5279503,-,Digit 0
Digit 4,-16.434858,-2.284641,-,Digit 4
Digit 4,6.056681,15.383195,-,Digit 4
Digit 2,-7.146068,-15.858493,-,Digit 2
Digit 5,-9.727276,16.656733,-,Digit 5
Digit 1,28.287138,-18.301867,-,Digit 1
Digit 9,11.390241,5.9195275,-,Digit 9
Digit 0,-34.78506,12.33367,-,Digit 0
Digit 6,-20.043753,1.6528963,-,Digit 6
Digit 2,1.8532321,5.8074374,-,Digit 2
Digit 7,25.758505,12.922392,-,Digit 7
Digit 1,23.55724,-19.161789,-,Digit 1
Digit 5,-16.586481,10.497955,-,Digit 5
Digit 4,13.212296,-6.718843,-,Digit 4
Digit 6,-23.910175,6.723994,-,Digit 6
Digit 6,-17.743307,-4.2887163,-,Digit 6
Digit 6,-18.434912,-1.540163,-,Digit 6
Digit 9,17.879183,-0.48655173,-,Digit 9
Digit 9,18.717627,8.0105915,-,Digit 9
Digit 9,18.391153,-1.1126908,-,Digit 9
Digit 8,-1.8882443,5.296561,-,Digit 8
Digit 9,11.148086,16.940926,-,Digit 9
Digit 3,-12.158139,4.094012,-,Digit 3
Digit 9,16.462078,2.886894,-,Digit 9
Digit 7,25.880129,10.417238,-,Digit 7
Digit 2,-4.409141,-10.140762,-,Digit 2
Digit 7,23.472963,11.22898,-,Digit 7
Digit 9,11.376647,15.71473,-,Digit 9
Digit 3,-6.799073,11.118695,-,Digit 3
Digit 4,14.800286,3.8502085,-,Digit 4
Digit 7,21.427156,-3.6936648,-,Digit 7
Digit 7,22.85456,-0.7223718,-,Digit 7
Digit 9,17.697964,-4.520181,-,Digit 9
Digit 0,-34.168415,1.5670555,-,Digit 0
Digit 3,-7.452682,2.0735657,-,Digit 3
Digit 3,-7.2598124,8.625037,-,Digit 3
Digit 9,16.70311,-2.0754066,-,Digit 9
Digit 8,2.6436996,2.4771967,-,Digit 8
Digit 8,-3.2214894,-1.6249944,-,Digit 8
Digit 5,7.232192,-9.269519,-,Digit 5
Digit 0,-30.739346,11.263105,-,Digit 0
Digit 9,18.497868,8.492153,-,Digit 9
Digit 4,14.821813,-3.199562,-,Digit 4
Digit 1,7.665014,-20.450367,-,Digit 1
Digit 1,17.199385,-18.789864,-,Digit 1
Digit 0,-34.590546,-2.611081,-,Digit 0
Digit 6,-22.580967,1.5883032,-,Digit 6
Digit 3,-9.844541,12.356023,-,Digit 3
Digit 1,9.383785,-19.510277,-,Digit 1
Digit 1,16.730316,-21.44859,-,Digit 1
Digit 8,-0.6027525,-5.0034256,-,Digit 8
Digit 4,14.634771,20.066986,-,Digit 4
Digit 4,13.240092,-4.0354195,-,Digit 4
Digit 3,-12.688433,12.018379,-,Digit 3
Digit 4,14.770365,14.217287,-,Digit 4
Digit 9,11.220077,5.163497,-,Digit 9
Digit 9,19.129314,1.2835529,-,Digit 9
Digit 1,14.091848,-19.675823,-,Digit 1
Digit 7,21.700264,-4.5825434,-,Digit 7
Digit 1,21.452208,-20.183699,-,Digit 1
Digit 2,-7.6647286,-12.848224,-,Digit 2
Digit 1,19.661388,-19.70221,-,Digit 1
Digit 4,10.967062,-5.2704425,-,Digit 4
Digit 2,-6.6574235,-17.028748,-,Digit 2
Digit 5,6.7516303,-9.541557,-,Digit 5
Digit 8,0.6466433,-6.9389777,-,Digit 8
Digit 6,-20.134005,3.082425,-,Digit 6
Digit 7,26.602804,3.7729042,-,Digit 7
Digit 1,14.768822,-20.029991,-,Digit 1
Digit 4,12.334619,-6.7253785,-,Digit 4
Digit 6,-18.022898,-0.82711786,-,Digit 6
Digit 2,-8.56533,-20.775883,-,Digit 2
Digit 4,11.663193,13.761065,-,Digit 4
Digit 3,-14.798583,9.792825,-,Digit 3
Digit 9,15.532912,11.246949,-,Digit 9
Digit 1,20.659414,-18.9366,-,Digit 1
Digit 3,-7.503233,3.891811,-,Digit 3
Digit 6,-17.122135,-6.488769,-,Digit 6
Digit 4,12.762078,8.024976,-,Digit 4
Digit 9,17.881783,0.7494051,-,Digit 9
Digit 6,-18.797901,-4.3138666,-,Digit 6
Digit 1,23.547989,-18.429873,-,Digit 1
Digit 1,7.246139,-21.030333,-,Digit 1
Digit 9,-9.124866,10.71775,-,Digit 9
Digit 7,27.65324,8.47759,-,Digit 7
Digit 0,-30.61995,5.9363527,-,Digit 0
Digit 1,10.910331,-18.469814,-,Digit 1
Digit 0,-31.06809,6.6319094,-,Digit 0
Digit 0,-6.0343843,3.5387046,-,Digit 0
Digit 0,-35.366196,5.701993,-,Digit 0
Digit 3,-13.409889,1.4949282,-,Digit 3
Digit 7,21.95042,6.600354,-,Digit 7
Digit 5,-4.744618,14.135539,-,Digit 5
Digit 0,-33.16866,6.701707,-,Digit 0
Digit 1,23.870924,-18.575594,-,Digit 1
Digit 7,23.441149,-3.4126322,-,Digit 7
Digit 1,8.070842,-20.294514,-,Digit 1
Digit 3,-9.859006,1.7832134,-,Digit 3
Digit 2,-29.273026,3.4279087,-,Digit 2
Digit 0,-37.056843,5.800046,-,Digit 0
Digit 3,-5.7590504,-0.87174064,-,Digit 3
Digit 1,10.77773,-21.223824,-,Digit 1
Digit 4,17.796085,6.984667,-,Digit 4
Digit 3,-8.414381,-1.0261188,-,Digit 3
Digit 0,-36.219418,4.9367266,-,Digit 0
Digit 0,-34.02291,6.489349,-,Digit 0
Digit 9,13.119848,5.3276496,-,Digit 9
Digit 9,19.840332,0.59528524,-,Digit 9
Digit 1,10.85923,-19.749912,-,Digit 1
Digit 2,-1.950293,-14.121257,-,Digit 2
Digit 3,-10.829734,8.718514,-,Digit 3
Digit 2,-3.3923802,-20.51648,-,Digit 2
Digit 5,-17.105282,9.3071,-,Digit 5
