,x,y,mannual_label,correct_label
Digit 2,-10.317934,-28.833221,-,Digit 2
Digit 7,29.862856,-2.2828035,-,Digit 7
Digit 1,9.152911,-20.203382,-,Digit 1
Digit 3,-23.306463,-8.945607,-,Digit 3
Digit 5,-12.940541,4.385669,-,Digit 5
Digit 3,-21.697971,0.6813033,-,Digit 3
Digit 8,-7.326497,-4.035233,-,Digit 8
Digit 6,-9.726395,18.899551,-,Digit 6
Digit 7,31.539412,4.927903,-,Digit 7
Digit 0,-25.53132,27.468437,-,Digit 0
Digit 3,4.3209267,-3.5400805,-,Digit 3
Digit 3,-20.447844,-11.066903,-,Digit 3
Digit 1,8.693107,-28.557165,-,Digit 1
Digit 2,-10.952257,-20.61923,-,Digit 2
Digit 1,9.461251,-32.17359,-,Digit 1
Digit 0,-27.315693,23.096014,-,Digit 0
Digit 0,-32.922596,22.94066,-,Digit 0
Digit 3,-19.259321,-9.533855,-,Digit 3
Digit 9,16.465622,14.058849,-,Digit 9
Digit 0,-29.60508,25.306227,-,Digit 0
Digit 0,-26.027512,14.282432,-,Digit 0
Digit 7,32.068813,-8.1202965,-,Digit 7
Digit 6,-11.7747345,24.225224,-,Digit 6
Digit 7,32.561996,-1.6131794,-,Digit 7
Digit 7,33.93754,-5.227974,-,Digit 7
Digit 7,30.475117,-1.6419114,-,Digit 7
Digit 0,-31.869566,20.281246,-,Digit 0
Digit 8,-20.71294,5.268472,-,Digit 8
Digit 2,12.066292,-4.6105137,-,Digit 2
Digit 0,-31.112059,20.024946,-,Digit 0
Digit 1,7.4647346,-14.507603,-,Digit 1
Digit 3,-21.931612,2.6906948,-,Digit 3
Digit 7,34.310738,-9.0585,-,Digit 7
Digit 1,8.665573,-15.900053,-,Digit 1
Digit 3,-26.19528,-3.3154223,-,Digit 3
Digit 2,-1.117783,-26.961903,-,Digit 2
Digit 3,-24.982891,-0.83235687,-,Digit 3
Digit 0,-30.888948,20.842178,-,Digit 0
Digit 0,-31.606833,12.4630165,-,Digit 0
Digit 7,32.288044,6.8554716,-,Digit 7
Digit 5,-13.819162,9.811917,-,Digit 5
Digit 3,-16.694824,0.43895683,-,Digit 3
Digit 8,-18.98567,5.4195104,-,Digit 8
Digit 9,18.531572,7.1409445,-,Digit 9
Digit 6,-10.086428,13.604458,-,Digit 6
Digit 3,-23.015724,2.4680724,-,Digit 3
Digit 7,10.8385,-24.49444,-,Digit 7
Digit 4,19.653141,20.32283,-,Digit 4
Digit 4,20.878014,-5.741822,-,Digit 4
Digit 8,-7.6713405,-10.525629,-,Digit 8
Digit 6,-10.693549,20.04388,-,Digit 6
Digit 4,13.491911,5.4406323,-,Digit 4
Digit 3,-22.05549,0.33151707,-,Digit 3
Digit 5,-12.0185,7.69534,-,Digit 5
Digit 7,34.569767,-1.8193566,-,Digit 7
Digit 8,-6.754609,-6.2970243,-,Digit 8
Digit 4,22.539488,-7.753943,-,Digit 4
Digit 9,17.055864,9.509879,-,Digit 9
Digit 7,15.975256,-16.321577,-,Digit 7
Digit 9,24.482132,2.4082677,-,Digit 9
Digit 8,-0.5728666,-14.622002,-,Digit 8
Digit 0,-25.11702,20.125366,-,Digit 0
Digit 2,-0.07487511,-28.27599,-,Digit 2
Digit 9,12.836551,-24.873995,-,Digit 9
Digit 5,-14.939188,7.299534,-,Digit 5
Digit 6,-14.3942585,16.453533,-,Digit 6
Digit 7,33.963688,-8.608465,-,Digit 7
Digit 4,23.906023,-8.682827,-,Digit 4
Digit 2,-10.15721,-26.741518,-,Digit 2
Digit 9,-30.32738,29.463364,-,Digit 9
Digit 7,33.553185,2.6351345,-,Digit 7
Digit 9,23.826687,-4.2204485,-,Digit 9
Digit 6,-10.916633,31.874664,-,Digit 6
Digit 3,-20.758717,-5.3353653,-,Digit 3
Digit 9,19.833828,-16.704176,-,Digit 9
Digit 3,-23.084404,-6.368862,-,Digit 3
Digit 5,8.589205,3.2143724,-,Digit 5
Digit 9,22.695696,7.606272,-,Digit 9
Digit 7,33.29397,-6.5689926,-,Digit 7
