,x,y,mannual_label,correct_label
Digit 2,10.693808,23.841293,-,Digit 2
Digit 7,17.213919,-17.76718,-,Digit 7
Digit 1,21.99481,7.193456,-,Digit 1
Digit 3,-9.59736,19.13213,-,Digit 3
Digit 5,-10.687374,4.6937113,-,Digit 5
Digit 3,-12.048973,10.031351,-,Digit 3
Digit 8,-1.8094493,7.4428988,-,Digit 8
Digit 6,-17.33334,-5.7673283,-,Digit 6
Digit 7,13.641733,-23.823252,-,Digit 7
Digit 0,-33.237083,0.82597685,-,Digit 0
Digit 3,-6.523676,7.783712,-,Digit 3
Digit 3,-6.1852574,19.199385,-,Digit 3
Digit 1,24.234795,14.497817,-,Digit 1
Digit 2,5.481118,19.283363,-,Digit 2
Digit 1,25.80733,17.372648,-,Digit 1
Digit 0,-30.487297,4.2321925,-,Digit 0
Digit 0,-33.816017,8.401534,-,Digit 0
Digit 3,-6.4132776,17.806879,-,Digit 3
Digit 9,-1.0798181,-22.361809,-,Digit 9
Digit 0,-33.782845,5.2295628,-,Digit 0
Digit 0,-23.929525,1.6598582,-,Digit 0
Digit 7,20.944351,-15.811031,-,Digit 7
Digit 6,-22.109539,-7.2752495,-,Digit 6
Digit 7,17.383886,-20.322603,-,Digit 7
Digit 7,20.696703,-19.00251,-,Digit 7
Digit 7,17.87519,-18.645205,-,Digit 7
Digit 0,-31.140413,9.206981,-,Digit 0
Digit 8,-15.406527,8.852319,-,Digit 8
Digit 2,4.1105247,-7.984312,-,Digit 2
Digit 0,-30.554195,8.704609,-,Digit 0
Digit 1,17.901945,4.340658,-,Digit 1
Digit 3,-12.549678,8.357843,-,Digit 3
Digit 7,23.01408,-16.531454,-,Digit 7
Digit 1,19.534285,4.4188304,-,Digit 1
Digit 3,-14.433767,16.040535,-,Digit 3
Digit 2,15.637101,17.419468,-,Digit 2
Digit 3,-13.837185,13.844171,-,Digit 3
Digit 0,-31.036861,8.00735,-,Digit 0
Digit 0,-23.56375,9.371118,-,Digit 0
Digit 7,12.444084,-25.48209,-,Digit 7
Digit 5,-13.212453,1.3039901,-,Digit 5
Digit 3,-9.09898,8.28157,-,Digit 3
Digit 8,-14.059561,10.576027,-,Digit 8
Digit 9,3.8845456,-18.0595,-,Digit 9
Digit 6,-13.549103,-3.2073505,-,Digit 6
Digit 3,-15.374905,10.077574,-,Digit 3
Digit 7,24.677801,10.579319,-,Digit 7
Digit 4,-7.823155,-22.312344,-,Digit 4
Digit 4,10.80238,-10.475033,-,Digit 4
Digit 8,4.655282,10.241036,-,Digit 8
Digit 6,-18.766224,-5.711732,-,Digit 6
Digit 4,0.66934013,-14.613548,-,Digit 4
Digit 3,-12.7978945,11.824705,-,Digit 3
Digit 5,-11.333494,1.7092596,-,Digit 5
Digit 7,18.814135,-21.579412,-,Digit 7
Digit 8,-1.4987155,6.950359,-,Digit 8
Digit 4,12.843909,-9.4739895,-,Digit 4
Digit 9,1.2305255,-19.17893,-,Digit 9
Digit 7,22.320635,-3.8001552,-,Digit 7
Digit 9,10.4304695,-18.496893,-,Digit 9
Digit 8,10.484364,8.150716,-,Digit 8
Digit 0,-27.40819,4.0810666,-,Digit 0
Digit 2,9.686112,17.890514,-,Digit 2
Digit 9,26.398996,9.7348585,-,Digit 9
Digit 5,-14.3938675,2.9920478,-,Digit 5
Digit 6,-18.807941,-1.2583638,-,Digit 6
Digit 7,22.484503,-16.690481,-,Digit 7
Digit 4,14.48868,-9.669367,-,Digit 4
Digit 2,8.812375,23.220407,-,Digit 2
Digit 9,-36.41075,1.3035041,-,Digit 9
Digit 7,16.040123,-24.005016,-,Digit 7
Digit 9,12.977741,-13.454918,-,Digit 9
Digit 6,-26.89585,-12.035583,-,Digit 6
Digit 3,-9.282718,15.610286,-,Digit 3
Digit 9,18.11745,-7.5233088,-,Digit 9
Digit 3,-10.534675,17.156195,-,Digit 3
Digit 5,-1.339657,-8.64885,-,Digit 5
Digit 9,6.42025,-21.489334,-,Digit 9
Digit 7,22.030985,-18.108225,-,Digit 7
Digit 2,5.7630634,22.416698,-,Digit 2
Digit 2,-23.725487,15.882234,-,Digit 2
Digit 8,18.51849,-6.9361663,-,Digit 8
Digit 8,2.8984807,8.810066,-,Digit 8
Digit 9,3.194359,-21.34322,-,Digit 9
Digit 1,21.642488,16.038496,-,Digit 1
Digit 8,14.633738,-0.39519355,-,Digit 8
Digit 4,9.11083,-13.039086,-,Digit 4
Digit 7,23.032227,-15.955296,-,Digit 7
Digit 0,-27.584646,11.197245,-,Digit 0
Digit 3,-12.766588,9.049283,-,Digit 3
Digit 5,1.230961,-3.5081794,-,Digit 5
Digit 7,18.358131,-15.380798,-,Digit 7
Digit 5,3.2662342,-3.4506562,-,Digit 5
Digit 6,-18.667763,-9.262409,-,Digit 6
Digit 0,-24.435913,9.953883,-,Digit 0
Digit 4,8.036355,-10.459998,-,Digit 4
Digit 6,-17.390486,-4.8724813,-,Digit 6
Digit 1,18.6499,8.835375,-,Digit 1
Digit 0,-26.590502,0.897878,-,Digit 0
Digit 8,5.834566,5.9356384,-,Digit 8
Digit 1,24.223726,6.2858996,-,Digit 1
Digit 9,3.571941,-18.432997,-,Digit 9
Digit 3,-6.6820474,22.709877,-,Digit 3
Digit 1,21.234924,16.424862,-,Digit 1
Digit 2,7.8393373,17.101759,-,Digit 2
Digit 8,0.23338525,10.655303,-,Digit 8
Digit 3,-8.204698,3.7701178,-,Digit 3
Digit 1,23.856924,14.215006,-,Digit 1
Digit 6,-17.761612,-9.88133,-,Digit 6
Digit 7,13.6276,-20.011354,-,Digit 7
Digit 7,20.138304,-23.811378,-,Digit 7
Digit 2,7.6217856,19.204268,-,Digit 2
Digit 5,-8.775115,-1.0530013,-,Digit 5
Digit 2,5.2458916,22.74786,-,Digit 2
Digit 3,-7.5964537,16.05226,-,Digit 3
Digit 3,-12.644627,15.066979,-,Digit 3
Digit 7,21.657976,-7.317738,-,Digit 7
Digit 3,-4.93279,14.08111,-,Digit 3
Digit 3,-6.944896,13.409287,-,Digit 3
Digit 3,-9.290476,12.033386,-,Digit 3
Digit 2,0.2646939,23.497513,-,Digit 2
Digit 3,-12.076102,15.534314,-,Digit 3
Digit 5,-14.474692,7.221623,-,Digit 5
Digit 6,18.760511,12.060685,-,Digit 6
Digit 1,22.746246,12.523701,-,Digit 1
Digit 4,-3.8356397,-26.484428,-,Digit 4
Digit 7,15.369873,-24.526232,-,Digit 7
Digit 7,14.268191,-24.274282,-,Digit 7
Digit 6,-20.862083,-10.843085,-,Digit 6
Digit 2,6.4254785,17.217058,-,Digit 2
Digit 6,-25.775385,-13.068623,-,Digit 6
Digit 7,13.372207,-25.145641,-,Digit 7
Digit 0,-26.982607,11.646283,-,Digit 0
Digit 3,-7.937793,10.000927,-,Digit 3
Digit 0,-29.175854,9.886722,-,Digit 0
Digit 4,-14.256524,-10.050684,-,Digit 4
Digit 4,-7.150915,-17.89273,-,Digit 4
Digit 2,9.236115,24.524893,-,Digit 2
Digit 5,-12.733505,5.8564606,-,Digit 5
Digit 1,24.17071,21.30793,-,Digit 1
Digit 9,4.4251704,-14.376579,-,Digit 9
Digit 0,-35.460445,2.9198697,-,Digit 0
Digit 6,-20.378616,-10.299198,-,Digit 6
Digit 2,7.770643,12.702373,-,Digit 2
Digit 7,14.460539,-29.515898,-,Digit 7
Digit 1,23.355173,15.794488,-,Digit 1
Digit 5,-16.456707,13.863777,-,Digit 5
Digit 4,11.020498,-4.53583,-,Digit 4
Digit 6,-27.58228,-12.006423,-,Digit 6
Digit 6,-14.814589,-7.614318,-,Digit 6
Digit 6,-16.853603,-9.861611,-,Digit 6
Digit 9,14.30537,-13.381998,-,Digit 9
Digit 9,8.815257,-21.513086,-,Digit 9
Digit 9,14.932273,-13.015287,-,Digit 9
Digit 8,-1.2616669,7.3945556,-,Digit 8
Digit 9,-2.5967178,-22.012756,-,Digit 9
Digit 3,-3.029038,14.528036,-,Digit 3
Digit 9,11.437607,-15.360638,-,Digit 9
Digit 7,15.375177,-27.069067,-,Digit 7
Digit 2,1.2331418,23.721745,-,Digit 2
Digit 7,12.923108,-26.508617,-,Digit 7
Digit 9,-2.5017083,-21.172516,-,Digit 9
