,x,y,mannual_label,correct_label
Digit 2,-1.6590785,-2.0692704,-,Digit 2
Digit 7,3.1288311,-0.9290677,-,Digit 7
Digit 1,0.96740144,-0.5035439,-,Digit 1
Digit 3,0.19645244,3.5268729,-,Digit 3
Digit 5,-0.9760615,2.527247,-,Digit 5
Digit 3,-0.72620726,3.1458356,-,Digit 3
Digit 8,0.3319004,1.8523859,-,Digit 8
Digit 6,-2.5868976,1.5911044,-,Digit 6
Digit 7,4.1948447,-0.41048127,-,Digit 7
Digit 0,-4.6585174,1.540463,-,Digit 0
Digit 3,-0.17914207,1.4516004,-,Digit 3
Digit 3,0.5541823,3.2988303,-,Digit 3
Digit 1,3.0888922,1.5734495,-,Digit 1
Digit 2,-1.6020938,-1.9041784,-,Digit 2
Digit 1,3.302445,1.8641554,-,Digit 1
Digit 0,-4.912436,0.81276935,-,Digit 0
Digit 0,-4.668228,0.4109797,-,Digit 0
Digit 3,0.4873594,3.3382478,-,Digit 3
Digit 9,0.6965265,-3.5762682,-,Digit 9
Digit 0,-4.691846,0.81415606,-,Digit 0
Digit 0,-4.259755,0.097871505,-,Digit 0
Digit 7,3.5848632,-1.5207561,-,Digit 7
Digit 6,-3.2878113,2.5064888,-,Digit 6
Digit 7,3.553587,-0.9091266,-,Digit 7
Digit 7,3.6306388,-0.8929721,-,Digit 7
Digit 7,3.2617488,-0.8296885,-,Digit 7
Digit 0,-4.815801,0.015307133,-,Digit 0
Digit 8,-0.6402236,2.7553012,-,Digit 8
Digit 2,-1.8556582,-0.27021962,-,Digit 2
Digit 0,-4.7948146,0.035144325,-,Digit 0
Digit 1,0.27985796,-1.0941466,-,Digit 1
Digit 3,-0.7870282,3.0072434,-,Digit 3
Digit 7,3.356313,-1.3451121,-,Digit 7
Digit 1,0.28793398,-1.0686357,-,Digit 1
Digit 3,-0.20986117,3.55629,-,Digit 3
Digit 2,-1.2376585,-1.1374685,-,Digit 2
Digit 3,-0.08559432,3.225826,-,Digit 3
Digit 0,-4.8193264,0.035679556,-,Digit 0
Digit 0,-4.380505,-0.3625221,-,Digit 0
Digit 7,4.195437,-0.35845354,-,Digit 7
Digit 5,-1.3265742,2.0557842,-,Digit 5
Digit 3,-0.47172815,2.922999,-,Digit 3
Digit 8,-0.81976926,2.8713887,-,Digit 8
Digit 9,1.2137172,-2.919185,-,Digit 9
Digit 6,-2.464073,1.4802822,-,Digit 6
Digit 3,-0.84928405,3.0891953,-,Digit 3
Digit 7,1.9621477,0.2769015,-,Digit 7
Digit 4,0.34440917,-3.988756,-,Digit 4
Digit 4,3.19556,-2.819789,-,Digit 4
Digit 8,0.9686343,1.4829531,-,Digit 8
Digit 6,-2.8555214,2.0584912,-,Digit 6
Digit 4,1.1934929,-2.599857,-,Digit 4
Digit 3,-0.5457648,3.3043072,-,Digit 3
Digit 5,-1.2584275,1.9472445,-,Digit 5
Digit 7,3.8361738,-0.7472366,-,Digit 7
Digit 8,0.31167257,1.8156118,-,Digit 8
Digit 4,3.2736864,-3.0939486,-,Digit 4
Digit 9,1.0962605,-3.1119063,-,Digit 9
Digit 7,2.9279337,-1.0122232,-,Digit 7
Digit 9,2.1603322,-2.3956969,-,Digit 9
Digit 8,1.5272509,1.0265515,-,Digit 8
Digit 0,-4.656434,0.69765735,-,Digit 0
Digit 2,-1.4003397,-1.9061406,-,Digit 2
Digit 9,2.4012306,0.76180875,-,Digit 9
Digit 5,-1.1406219,2.3521442,-,Digit 5
Digit 6,-2.9017746,1.7756288,-,Digit 6
Digit 7,3.4940886,-1.3121226,-,Digit 7
Digit 4,3.3629646,-2.6668892,-,Digit 4
Digit 2,-1.7307546,-2.008994,-,Digit 2
Digit 9,-0.22498447,-3.7930586,-,Digit 9
Digit 7,4.369141,-0.317621,-,Digit 7
Digit 9,2.6502042,-2.2222786,-,Digit 9
Digit 6,-3.7702641,2.6207252,-,Digit 6
Digit 3,0.0695289,3.6070008,-,Digit 3
Digit 9,1.5937334,0.8770526,-,Digit 9
Digit 3,-0.021275535,3.6300416,-,Digit 3
Digit 5,1.4102305,-1.6892443,-,Digit 5
Digit 9,1.6628087,-2.8905168,-,Digit 9
Digit 7,3.4643152,-0.9900321,-,Digit 7
Digit 2,-2.1135511,-2.20094,-,Digit 2
Digit 2,2.8962166,-1.1371557,-,Digit 2
Digit 8,1.3690428,1.0658343,-,Digit 8
Digit 8,0.7191593,1.7365047,-,Digit 8
Digit 9,1.0519842,-3.1015818,-,Digit 9
Digit 1,2.8697894,1.466475,-,Digit 1
Digit 8,0.14950003,0.98767984,-,Digit 8
Digit 4,2.7171261,-3.330653,-,Digit 4
Digit 7,3.4362073,-1.3821558,-,Digit 7
Digit 0,-4.33519,-0.5093918,-,Digit 0
Digit 3,-0.82781523,3.0274866,-,Digit 3
Digit 5,-2.0054154,-0.11004889,-,Digit 5
Digit 7,3.3113682,-0.980489,-,Digit 7
Digit 5,-2.019138,-0.16619734,-,Digit 5
Digit 6,-2.6528292,2.0803573,-,Digit 6
Digit 0,-4.374678,-0.40247837,-,Digit 0
Digit 4,2.8386748,-2.9266348,-,Digit 4
Digit 6,-2.6569564,1.5860134,-,Digit 6
Digit 1,0.3107572,-0.24178457,-,Digit 1
Digit 0,-3.9201214,1.5520723,-,Digit 0
Digit 8,1.2287621,1.640391,-,Digit 8
Digit 1,1.5316576,-0.15586554,-,Digit 1
Digit 9,1.2052816,-2.9307745,-,Digit 9
Digit 3,-2.5720859,0.67157173,-,Digit 3
Digit 1,2.8042061,1.5865029,-,Digit 1
Digit 2,-1.5007871,-2.0452373,-,Digit 2
Digit 8,0.4539971,1.7979877,-,Digit 8
Digit 3,-1.030262,2.0252507,-,Digit 3
Digit 1,2.7854564,1.2535247,-,Digit 1
Digit 6,-2.4971135,1.8931935,-,Digit 6
Digit 7,2.3194282,-1.5958574,-,Digit 7
Digit 7,4.348503,-0.49944368,-,Digit 7
Digit 2,-1.5744765,-2.0677192,-,Digit 2
Digit 5,-1.232912,1.2083024,-,Digit 5
Digit 2,-2.1096194,-2.1704369,-,Digit 2
Digit 3,0.03151132,3.531782,-,Digit 3
Digit 3,-0.3018212,3.413277,-,Digit 3
Digit 7,2.9331303,-0.649984,-,Digit 7
Digit 3,0.31476158,3.0532022,-,Digit 3
Digit 3,0.08101486,3.1430006,-,Digit 3
Digit 3,-0.29332152,3.2598224,-,Digit 3
Digit 2,-2.5649402,-2.4311001,-,Digit 2
Digit 3,-0.2732401,3.4702022,-,Digit 3
Digit 5,-0.8219575,2.9193566,-,Digit 5
Digit 6,-2.4275243,1.2573707,-,Digit 6
Digit 1,2.595234,0.9895015,-,Digit 1
Digit 4,0.41223097,-4.094133,-,Digit 4
Digit 7,4.3006973,-0.36277026,-,Digit 7
Digit 7,4.296068,-0.33317316,-,Digit 7
Digit 6,-2.9861524,2.4696357,-,Digit 6
Digit 2,-1.5814797,-2.081795,-,Digit 2
Digit 6,-3.743941,2.636076,-,Digit 6
Digit 7,4.2879186,-0.32044268,-,Digit 7
Digit 0,-4.305696,-0.5316069,-,Digit 0
Digit 3,-0.14647684,3.4811137,-,Digit 3
Digit 0,-4.7344947,-0.21472259,-,Digit 0
Digit 4,-2.4268641,1.4914744,-,Digit 4
Digit 4,0.7207976,-3.761001,-,Digit 4
Digit 2,-1.7003675,-2.097442,-,Digit 2
Digit 5,-0.70608735,2.5422559,-,Digit 5
Digit 1,3.569401,2.3262568,-,Digit 1
Digit 9,1.545367,-1.9618583,-,Digit 9
Digit 0,-4.244193,0.7077454,-,Digit 0
Digit 6,-2.5651755,2.4849005,-,Digit 6
Digit 2,0.16778189,1.0003511,-,Digit 2
Digit 7,4.6579456,-0.08204837,-,Digit 7
Digit 1,3.0824046,1.6136973,-,Digit 1
Digit 5,-1.1211548,2.2796423,-,Digit 5
Digit 4,3.5816329,-2.6177285,-,Digit 4
Digit 6,-3.8196056,2.611486,-,Digit 6
Digit 6,-2.4128664,1.3794813,-,Digit 6
Digit 6,-2.4811604,1.8520592,-,Digit 6
Digit 9,2.751123,-2.1692781,-,Digit 9
Digit 9,2.402685,-2.4769127,-,Digit 9
Digit 9,2.7909348,-2.100521,-,Digit 9
Digit 8,0.35627925,1.7377226,-,Digit 8
Digit 9,0.8336622,-3.4857502,-,Digit 9
Digit 3,-0.027946588,3.3105726,-,Digit 3
Digit 9,2.3003478,-2.1414359,-,Digit 9
Digit 7,4.363846,-0.31881407,-,Digit 7
Digit 2,-2.5972142,-2.487323,-,Digit 2
Digit 7,4.357896,-0.27450606,-,Digit 7
Digit 9,0.66332126,-3.5524464,-,Digit 9
Digit 3,-0.31355503,2.8101618,-,Digit 3
Digit 4,2.230491,-1.9858853,-,Digit 4
Digit 7,3.5358033,-1.8496484,-,Digit 7
Digit 7,3.3719294,-1.2846243,-,Digit 7
Digit 9,3.2487562,-2.3302932,-,Digit 9
Digit 0,-4.4955974,-0.32181093,-,Digit 0
Digit 3,0.7342112,2.9833238,-,Digit 3
Digit 3,0.01556411,3.010917,-,Digit 3
Digit 9,2.710781,-2.216056,-,Digit 9
Digit 8,0.75403893,1.1804165,-,Digit 8
Digit 8,1.1949435,1.5290527,-,Digit 8
Digit 5,-1.9025478,-0.08988804,-,Digit 5
Digit 0,-4.635979,1.2828687,-,Digit 0
Digit 9,2.4065535,-2.5281384,-,Digit 9
Digit 4,3.291301,-3.067065,-,Digit 4
Digit 1,0.074900866,-1.4289572,-,Digit 1
Digit 1,1.2951344,-0.26205137,-,Digit 1
Digit 0,-4.190036,-0.45798665,-,Digit 0
Digit 6,-3.3378868,2.5633895,-,Digit 6
Digit 3,-0.47440338,2.9529376,-,Digit 3
Digit 1,-0.024503687,-0.8733886,-,Digit 1
Digit 1,0.502428,-0.27674326,-,Digit 1
Digit 8,1.4618511,1.4209865,-,Digit 8
Digit 4,1.7487602,-3.9294074,-,Digit 4
Digit 4,3.3212485,-2.7463765,-,Digit 4
Digit 3,-0.5612036,3.3336356,-,Digit 3
Digit 4,1.1068652,-3.0820692,-,Digit 4
Digit 9,1.47857,-1.9033787,-,Digit 9
Digit 9,2.5611832,-2.1179357,-,Digit 9
