,x,y,mannual_label,correct_label
Digit 2,0.5047525,-0.62493056,-,Digit 2
Digit 7,2.2310045,-1.6661872,-,Digit 7
Digit 1,3.1282673,0.85781264,-,Digit 1
Digit 3,-0.15057227,3.2944076,-,Digit 3
Digit 5,-1.1707724,2.2344244,-,Digit 5
Digit 3,-0.9475784,2.8217962,-,Digit 3
Digit 8,0.123148605,1.6298947,-,Digit 8
Digit 6,-2.4443204,0.28584096,-,Digit 6
Digit 7,3.2693784,-1.7421935,-,Digit 7
Digit 0,-4.1628256,1.9276388,-,Digit 0
Digit 3,0.5716528,2.1910896,-,Digit 3
Digit 3,0.16574419,3.1282918,-,Digit 3
Digit 1,3.07199,2.4757543,-,Digit 1
Digit 2,-0.07861464,-0.87394106,-,Digit 2
Digit 1,3.2564585,2.692888,-,Digit 1
Digit 0,-4.7042403,1.6579882,-,Digit 0
Digit 0,-4.5913773,1.0569123,-,Digit 0
Digit 3,0.103229724,3.1531258,-,Digit 3
Digit 9,-0.69071114,-3.1489093,-,Digit 9
Digit 0,-4.510712,1.4165093,-,Digit 0
Digit 0,-4.4239426,0.4748866,-,Digit 0
Digit 7,2.2959754,-2.2299833,-,Digit 7
Digit 6,-3.0152135,0.9204455,-,Digit 6
Digit 7,2.612614,-1.8346545,-,Digit 7
Digit 7,2.589664,-1.729298,-,Digit 7
Digit 7,2.3463135,-1.6069381,-,Digit 7
Digit 0,-4.874341,0.744612,-,Digit 0
Digit 8,-0.7419703,2.4045,-,Digit 8
Digit 2,-1.5645245,-1.3795419,-,Digit 2
Digit 0,-4.846698,0.7570465,-,Digit 0
Digit 1,3.7864566,0.45882556,-,Digit 1
Digit 3,-0.97848415,2.6823044,-,Digit 3
Digit 7,1.9729573,-1.9468554,-,Digit 7
Digit 1,3.6151202,0.46609712,-,Digit 1
Digit 3,-0.55778724,3.2484636,-,Digit 3
Digit 2,0.82076246,0.115293875,-,Digit 2
Digit 3,-0.37063956,2.995436,-,Digit 3
